skill_match_ratio,experience_diff,cosine_similarity,education_match,target_score
0.6662,-0.09,0.6477,1,65.12
0.7804,1.86,0.6835,1,70.66
0.3202,-1.77,0.3631,1,36.74
0.7498,0.78,0.6644,1,72.25
0.2059,2.56,0.3156,1,33.75
0.6122,0.93,0.556,1,56.48
0.3117,1.31,0.4406,1,44.37
0.8241,-0.27,0.6326,1,74.5
0.6237,0.32,0.7233,1,67.02
0.6872,4.41,0.6461,1,69.77
0.6369,-0.05,0.6789,1,61.79
0.8072,-0.75,0.7841,0,64.1
0.3789,-1.26,0.4822,1,47.93
0.5133,-0.09,0.5507,1,53.62
0.4633,1.14,0.5489,0,34.99
0.2292,6.66,0.4643,1,32.89
0.7886,3.36,0.7939,1,75.63
0.6586,5.98,0.6227,1,71.78
0.6785,-3.38,0.6787,1,61.11
0.5607,-0.31,0.5798,0,40.61
0.3871,1.15,0.5755,1,53.14
0.3586,1.37,0.5153,1,49.3
0.744,5.16,0.7471,0,59.88
0.2221,-1.55,0.4561,1,29.32
0.677,0.31,0.6997,0,51.67
0.6941,7.3,0.6047,1,74.12
0.2843,-0.06,0.5135,1,31.19
0.8127,-3.29,0.6729,1,65.31
0.5233,0.65,0.4964,0,38.4
0.9029,-1.84,0.821,0,66.47
0.4832,2.13,0.4735,1,49.37
0.4626,2.22,0.4254,1,48.75
0.6544,2.2,0.851,1,75.8
0.1519,-1.48,0.3744,1,20.93
0.8338,-1.13,0.8342,1,84.58
0.675,3.67,0.6146,1,67.19
0.9042,4.58,0.6829,1,81.54
0.2974,0.53,0.4474,1,31.34
0.4663,5.83,0.4003,0,37.25
0.4944,-1.06,0.6427,1,53.57
0.3181,2.75,0.4996,0,26.57
0.5687,2.03,0.4698,0,36.15
0.6843,2.56,0.7414,1,70.35
0.5865,-0.28,0.6009,0,39.54
0.4747,-2.02,0.4639,0,32.22
0.6668,-1.74,0.4996,0,45.51
0.4754,-1.56,0.5809,1,50.65
0.6871,1.08,0.7703,0,50.5
0.475,2.64,0.5484,1,54.35
0.5048,-1.57,0.617,1,54.32
0.7362,1.06,0.7059,1,71.7
0.3417,2.9,0.584,0,36.12
0.8978,-4.81,0.7517,1,68.47
0.7843,1.73,0.7907,1,79.4
0.7957,-3.78,0.846,0,51.28
0.8847,-1.0,0.8073,0,66.17
0.5572,-0.63,0.6563,1,55.22
0.8927,3.69,0.8104,0,75.71
0.7152,-0.12,0.7711,1,73.64
0.5204,-3.9,0.6571,1,49.41
0.7473,-3.76,0.7065,1,62.74
0.8528,2.17,0.6809,1,78.06
0.3913,-0.83,0.4518,1,41.45
0.2494,0.59,0.4784,1,33.03
0.5894,-0.83,0.5781,1,64.03
0.2653,-0.12,0.514,0,12.78
0.7479,-3.52,0.7276,1,63.57
0.6852,-2.2,0.6943,0,48.28
0.3287,4.31,0.5239,1,47.87
0.2946,5.27,0.4642,1,35.27
0.5467,0.62,0.5342,1,57.29
0.6655,2.39,0.7083,1,68.89
0.1742,-1.41,0.2514,1,20.29
0.3986,-3.65,0.7419,1,42.49
0.4815,3.02,0.5187,1,57.82
0.978,-1.49,0.8515,1,88.92
0.6091,1.34,0.6021,1,61.06
0.4553,5.69,0.5288,0,41.05
0.334,0.55,0.6178,1,47.09
0.6452,2.43,0.6681,1,67.81
0.6951,0.95,0.7022,1,65.54
0.3998,-0.69,0.4921,0,30.67
0.7205,2.39,0.6225,0,54.45
0.8246,-2.61,0.7672,1,78.67
0.6727,6.61,0.6803,1,76.71
0.7898,1.68,0.6271,0,58.56
0.4014,0.64,0.6083,1,49.44
0.7463,-3.64,0.6921,1,64.28
0.2592,-0.11,0.4208,1,30.79
0.2656,3.32,0.3647,0,16.33
0.1893,0.65,0.3415,0,11.42
0.5748,-1.28,0.6247,0,43.55
0.0342,-4.68,0.342,0,0.0
0.4461,2.84,0.6471,1,54.56
0.5395,1.72,0.5687,1,57.34
0.5949,-2.2,0.6765,1,54.88
0.8463,3.12,0.8707,1,82.82
0.1317,1.03,0.3647,0,10.73
0.6311,0.36,0.8195,1,69.08
0.6277,-0.85,0.583,1,56.03
0.4772,1.68,0.6921,0,43.77
0.4619,1.79,0.496,1,48.71
0.81,-2.88,0.7914,1,71.26
0.6083,-0.94,0.6443,1,56.36
0.7099,4.93,0.5658,0,50.57
0.4979,-1.32,0.5541,0,31.13
0.456,2.03,0.6537,0,40.83
0.4747,1.02,0.6266,1,55.75
0.2139,0.4,0.4722,0,11.76
0.6765,-0.66,0.5887,0,48.08
0.6211,3.08,0.5228,0,40.83
0.6394,3.16,0.7495,1,67.16
0.8599,-0.61,0.8892,1,82.43
0.8847,-1.8,0.6319,0,52.21
0.7382,-2.31,0.7366,0,52.32
0.8507,-0.83,0.8123,1,80.46
0.8288,-0.88,0.8065,1,86.62
0.7952,-0.47,0.7809,1,76.52
0.6968,0.42,0.8268,1,72.66
0.3661,3.47,0.5978,1,52.58
0.3831,1.98,0.5994,0,34.13
0.4957,3.42,0.5207,0,39.43
0.5088,1.42,0.5484,0,37.0
0.53,0.62,0.6518,1,55.04
0.4702,0.26,0.5809,1,53.73
0.4486,-2.07,0.4019,1,47.69
0.3959,4.41,0.5125,0,29.77
0.7986,-5.0,0.7911,1,66.18
0.7101,2.13,0.6826,1,66.63
0.7782,1.11,0.6712,1,70.13
0.156,1.36,0.4224,0,11.69
0.6226,2.27,0.56,1,62.28
0.2007,0.82,0.3559,1,24.48
0.7764,-5.0,0.8089,0,42.31
0.3913,0.49,0.4225,1,46.93
0.7544,-4.6,0.6934,1,60.02
0.4296,-0.93,0.5821,1,50.8
0.4057,-1.12,0.5546,0,31.73
0.7938,3.79,0.7524,1,78.3
0.8828,-0.71,0.703,0,56.69
0.2544,0.6,0.4495,1,28.41
0.6477,-3.67,0.7309,1,60.83
0.2469,3.12,0.4274,0,19.81
0.3837,4.19,0.6214,0,36.92
0.5538,-1.18,0.6305,1,56.54
0.7135,3.37,0.5532,1,68.81
0.8059,3.4,0.6188,1,73.48
0.8207,-3.39,0.7171,1,65.69
0.702,5.69,0.7151,0,58.92
0.559,2.32,0.6116,1,60.23
0.3545,-4.5,0.5061,0,19.03
0.5296,-2.1,0.6134,1,52.89
0.4915,0.88,0.5995,1,57.85
0.4283,3.47,0.4484,0,37.17
0.7523,0.34,0.7401,0,54.31
0.7862,2.91,0.8161,0,61.05
0.2976,0.07,0.4649,1,27.98
0.4385,-4.88,0.4377,1,35.71
0.6262,2.95,0.6184,1,63.59
0.8295,-3.61,0.9425,0,62.01
0.511,2.4,0.6035,1,57.56
0.9122,0.25,0.8794,1,86.3
0.916,-1.96,0.7858,1,81.07
0.7542,1.3,0.8266,1,74.49
0.6679,0.62,0.6706,1,67.03
0.5943,-1.23,0.6911,1,59.36
0.3911,-2.47,0.5399,0,25.76
0.6276,0.13,0.5222,1,60.24
0.2092,-1.51,0.5462,1,30.65
0.6273,4.57,0.5569,1,63.08
0.7212,1.08,0.5722,0,49.61
0.9283,4.68,0.8441,1,92.44
0.3473,-1.8,0.4178,1,41.21
0.2469,-2.23,0.4105,0,10.75
0.3413,1.48,0.4455,0,27.59
0.5116,-1.46,0.4749,1,51.2
0.8474,-4.88,0.833,1,72.63
0.5975,1.17,0.6544,0,43.13
0.4275,-1.75,0.5392,0,30.54
0.4184,0.53,0.4252,1,46.15
0.3671,1.82,0.3577,1,42.5
0.4155,4.33,0.626,1,54.03
0.5266,-0.34,0.5445,1,53.57
0.5144,0.9,0.5832,0,34.37
0.983,2.84,0.8304,1,95.22
0.7715,-0.94,0.517,1,67.72
0.7519,0.96,0.634,1,69.33
0.7516,-0.61,0.6426,0,44.28
0.2646,-0.02,0.5369,1,28.42
0.7493,5.89,0.6636,0,57.64
0.6763,-1.38,0.6791,0,50.71
0.4659,-2.87,0.4785,1,47.36
0.5398,2.3,0.6455,1,63.7
0.5586,1.64,0.7804,1,67.72
0.7104,3.18,0.7353,1,71.56
0.829,-0.05,0.7338,0,53.39
0.7228,1.21,0.7946,0,53.86
0.472,1.5,0.5075,0,34.86
0.2307,4.76,0.2749,1,28.82
0.6114,0.15,0.5383,1,61.25
0.431,-1.63,0.5579,0,27.37
0.2668,0.16,0.4479,0,10.65
0.2468,-0.43,0.3704,0,6.39
0.4413,-3.31,0.6437,0,29.67
0.5263,0.96,0.7384,1,65.45
0.6132,-1.55,0.637,1,62.83
0.4299,4.19,0.5019,1,51.02
0.5748,-2.06,0.7645,1,59.8
0.6766,3.22,0.5719,1,67.22
0.6773,-3.49,0.643,0,41.48
0.9677,0.43,0.974,1,95.42
0.838,1.25,0.7892,1,83.19
0.588,-0.07,0.6528,1,59.89
0.7668,-1.37,0.7299,1,67.39
0.7214,0.67,0.7381,0,51.92
0.3233,-2.64,0.3712,0,24.58
0.131,-1.34,0.3072,0,7.96
0.7963,2.23,0.7683,1,80.78
0.2906,2.76,0.6014,1,32.91
0.7112,-1.11,0.6272,1,68.03
0.3655,-0.13,0.4722,1,46.23
0.7048,1.25,0.6275,0,52.45
0.441,-3.1,0.5715,1,49.47
0.2859,1.71,0.3895,0,17.14
0.5567,-0.51,0.63,1,59.98
0.9153,0.56,0.9164,0,71.9
0.7674,1.57,0.6269,1,69.97
0.6963,-0.38,0.7047,1,67.81
0.2163,-4.8,0.3703,1,15.84
0.5699,1.87,0.5682,1,58.54
0.8113,3.0,0.7117,1,76.45
0.8088,3.47,0.7127,0,60.04
0.8893,-2.0,0.7349,1,78.41
0.2573,1.72,0.3446,0,15.24
0.3752,3.27,0.4968,1,50.08
0.6604,0.27,0.6455,0,47.49
0.69,-1.84,0.7664,0,50.47
0.4294,5.1,0.3854,1,50.46
0.6016,2.88,0.7677,0,50.99
0.4333,3.4,0.5661,1,57.13
0.6215,-5.0,0.6961,1,56.16
0.5304,2.88,0.6894,0,48.01
0.8715,5.93,0.7653,0,74.33
0.7644,0.99,0.6853,1,65.82
0.6333,-3.02,0.6417,1,55.42
0.5047,-1.38,0.616,1,61.08
0.4187,-0.3,0.4666,1,47.26
0.8209,-3.28,0.818,0,57.19
0.1556,-0.71,0.3973,1,24.37
0.507,-1.73,0.5078,1,50.55
0.5282,0.92,0.6259,0,42.92
0.1496,1.08,0.4128,1,27.01
0.3274,0.18,0.3295,1,34.89
0.5132,1.57,0.7295,1,58.6
0.8093,1.22,0.7659,0,58.29
0.2459,-3.66,0.3563,1,24.8
0.3939,3.78,0.6283,1,53.8
0.2821,4.54,0.6065,1,35.45
0.4833,-0.59,0.557,1,49.75
0.5531,4.5,0.5968,0,44.65
0.6672,0.23,0.7028,1,67.49
0.0627,6.08,0.3169,1,27.17
0.5491,-4.45,0.6618,1,49.23
0.4075,3.25,0.6808,1,54.53
0.0893,-3.26,0.3704,0,5.51
0.6866,2.05,0.6481,0,49.28
0.1932,0.37,0.2904,1,22.11
0.2529,3.14,0.4569,0,19.14
0.4066,0.72,0.6169,0,32.97
0.6582,-0.47,0.7382,1,68.65
0.698,2.88,0.725,1,72.2
0.5373,2.39,0.6423,1,61.43
0.7349,-1.19,0.6926,1,68.14
0.8987,1.03,0.9107,0,70.74
0.3923,2.57,0.5003,1,45.84
0.5312,1.19,0.5238,0,38.68
0.5564,-0.73,0.6735,0,42.33
0.3305,0.44,0.3402,1,41.3
0.5631,3.3,0.5596,1,60.49
0.4783,2.56,0.4937,1,53.14
0.5187,2.69,0.5725,0,42.3
0.6451,-5.0,0.6441,1,53.66
0.3968,0.99,0.5345,1,48.48
0.6311,-3.11,0.4634,1,49.3
0.3718,4.13,0.4727,0,32.74
0.7222,-3.38,0.7627,1,67.21
0.8663,4.61,0.7918,1,87.34
0.4992,2.35,0.5335,1,51.83
0.3905,-1.99,0.5771,1,40.94
0.613,-2.45,0.7263,0,42.76
0.6644,1.98,0.7439,1,66.94
0.6689,0.91,0.672,0,49.83
0.9081,-1.57,0.74,1,75.34
0.2828,0.55,0.474,0,15.14
0.5226,-0.29,0.6189,1,59.84
0.4524,-1.53,0.4482,0,28.64
0.2514,0.88,0.3511,0,12.03
0.2252,0.02,0.3953,0,17.1
0.4891,-0.17,0.6048,1,55.33
0.1941,0.97,0.3538,0,11.76
0.3837,0.55,0.5042,0,26.23
0.8737,4.21,0.809,1,89.67
0.7837,2.01,0.7686,1,77.2
0.5004,-0.4,0.5234,1,49.35
0.7073,3.02,0.7215,1,67.47
0.2283,0.54,0.3493,1,27.3
